solver,problem,mrep,,,,,,,
ASTRODF_28,CNTNEWS-1_5,1,"(20, 20, 20, 20)","(25.098405697072515, 21.448420792942514, 21.53891463416234, 21.07835750337033)","(29.633549272349086, 23.47872607652749, 23.696463498321716, 22.58769269063754)","(32.79262368985314, 26.320967870647237, 26.722776852199026, 24.6867673663597)","(35.60477943816647, 29.301278631799853, 29.871742346663027, 26.90404514114235)","(38.2873034614572, 32.237485816332494, 33.047519536972075, 29.295690615112846)","(40.96982748474793, 35.173693000865136, 36.223296727281124, 31.68733608908334)"
ASTRODF_28,CNTNEWS-1_5,2,"(20, 20, 20, 20)","(25.146517964322797, 21.38355274361929, 21.469993785414875, 21.030062872378057)","(30.03276541219945, 23.07257315148051, 23.268123049225803, 22.31897857647115)","(33.99653829482071, 25.505379584532015, 25.845172659410885, 24.149702286545462)","(36.794144446632515, 28.51283759406462, 29.019219818206658, 26.31229271833489)","(39.22249387039134, 31.634761797337532, 32.36227376875706, 28.503975914086983)","(41.650843294150164, 34.75668600061044, 35.70532771930747, 30.695659109839074)"
ASTRODF_28,CNTNEWS-1_5,3,"(20, 20, 20, 20)","(25.195411636382303, 21.320536182799856, 21.403040101711817, 20.95819475741211)","(30.10924726055844, 22.98194953383036, 23.160356552416864, 22.23433762925692)","(34.49326288082855, 25.15843860535357, 25.47282750948217, 23.757018501002854)","(38.25781118193321, 27.756743074504726, 28.23871777633438, 25.503333938618635)","(41.159395870411714, 30.751433826122643, 31.422483320637422, 27.527944310604745)","(41.159395870411714, 30.751433826122643, 31.422483320637422, 27.527944310604745)"
ASTRODF_28,CNTNEWS-1_5,4,"(20, 20, 20, 20)","(25.17507474477831, 21.369809921192317, 21.455392344555555, 20.920234693354725)","(30.13164891100261, 23.03183025391686, 23.217833383109774, 22.0095643659662)","(34.07839953501423, 25.553630465774354, 25.89772345568429, 23.592172657344626)","(36.7967698288701, 28.685884539435623, 29.229206346946953, 25.415204667601795)","(39.21185907155739, 31.85378658449027, 32.71103367426183, 27.320826783143552)","(41.365045618790965, 35.247223809870874, 36.32206903570123, 28.880176554789248)"
ASTRODF_28,CNTNEWS-1_5,5,"(20, 20, 20, 20)","(25.11487507863012, 21.426615865024615, 21.51574738688641, 21.062123610743775)","(29.864287365972373, 23.266558160740086, 23.47223683024129, 22.423233794749624)","(33.97899017179326, 25.601366482820772, 25.947349284310626, 24.188024394312976)","(37.207880335711145, 28.414470100554453, 28.91522160849997, 26.3034975835174)","(39.99844773138386, 31.40475842161928, 32.09344929535607, 28.492688013630048)","(42.54917592399417, 34.534316447300476, 35.383454813312134, 30.613605867961002)"
ASTRODF_28,CNTNEWS-1_5,6,"(20, 20, 20, 20)","(25.04193656719803, 21.5203075237971, 21.61529267475197, 21.131877582609416)","(29.49290852057991, 23.60895933922405, 23.83791869406381, 22.715889086381843)","(33.161907690963616, 26.22265686060244, 26.63848058402418, 24.583149126293133)","(36.04886455110395, 29.21671767241618, 29.7646213829943, 26.71647991394613)","(38.569271645980024, 32.41240213965471, 33.07317193507459, 28.74414327554285)","(40.690471049690586, 35.597200282049364, 36.478445636609194, 31.064587522065086)"
ASTRODF_28,CNTNEWS-1_5,7,"(20, 20, 20, 20)","(24.938414518758343, 21.642071881493006, 21.744664576129416, 21.222531838198826)","(29.058504655147605, 23.981091747870586, 24.230897358071513, 22.953215659235813)","(32.052712906194806, 26.902989048466416, 27.286503273108373, 25.140287264786764)","(34.651179454897566, 30.03758859515732, 30.547096452203743, 27.241136140664924)","(36.98302057029588, 33.20430785854516, 33.894393774178916, 29.46662111239759)","(39.31486168569419, 36.371027121933, 37.24169109615409, 31.692106084130256)"
ASTRODF_28,CNTNEWS-1_5,8,"(20, 20, 20, 20)","(25.050516934247558, 21.509655779455734, 21.60397543508918, 21.123947298474807)","(29.606282189094486, 23.517712169195747, 23.72996498784125, 22.645675757046398)","(32.729461351118324, 26.366218267134183, 26.75439798756716, 24.792148809232327)","(35.34549688803695, 29.438311018420357, 30.018427648312556, 26.957210280076033)","(37.96153242495557, 32.51040376970653, 33.28245730905795, 29.12227175091974)","(37.96153242495557, 32.51040376970653, 33.28245730905795, 29.12227175091974)"
ASTRODF_28,CNTNEWS-1_5,9,"(20, 20, 20, 20)","(24.976451476872256, 21.598700872333715, 21.698583850818896, 21.190241875652344)","(29.321432015566906, 23.781540048243013, 24.02485394055189, 22.792615528012433)","(33.17520252542311, 26.287730920862746, 26.70765300468025, 24.607230074012758)","(36.20978610829942, 29.19441546715361, 29.77229971744174, 26.74573528900183)","(38.42041681935483, 32.38066159779784, 33.15952372538775, 29.006362984127964)","(39.92563365997748, 35.86580014687665, 36.85746376520394, 30.886827719250327)"
ASTRODF_28,CNTNEWS-1_9,0,"(20, 20, 20, 20)","(22.10934721346135, 22.10934720394781, 22.10934720394781, 24.274896452680665)","(24.21869425671569, 24.21869159091717, 24.218696737219442, 28.54979322996612)","(26.328041299970028, 26.328035977886532, 26.328046270491075, 32.824690007251576)","(28.437388343224367, 28.437380364855894, 28.43739580376271, 37.09958678453703)","(30.546735386478705, 30.546724751825256, 30.54674533703434, 41.37448356182249)","(32.65608242973305, 32.65606913879462, 32.65609487030598, 45.64938033910794)"
ASTRODF_28,CNTNEWS-1_9,1,"(20, 20, 20, 20)","(22.109347205286383, 22.109347205286376, 22.109347205286365, 24.27489645539345)","(24.218694410572766, 24.218694410572752, 24.21869441057273, 28.5497929107869)","(26.32804161585915, 26.328041615859128, 26.328041615859096, 32.82468936618035)","(28.473347636421924, 28.473347582063457, 28.473347582063415, 37.04556170523033)","(30.61880714529921, 30.615977493159825, 30.620558580065058, 41.26674662081834)","(33.265753191367665, 33.881176404084776, 32.266907621814134, 44.620023247598894)"
ASTRODF_28,CNTNEWS-1_9,2,"(20, 20, 20, 20)","(22.109347213461362, 22.1093472039478, 22.10934720394779, 24.274896452680675)","(24.246768627074392, 24.350693391128914, 24.350685172994666, 28.39884815948203)","(26.539624364307684, 26.643453408767442, 26.643444658565212, 32.38031706087566)","(29.068900363512846, 29.129835320787507, 29.129879927032906, 35.966552435865424)","(31.920430815449123, 31.9739233535255, 31.97398811915005, 38.670949325549444)","(34.86866401214566, 35.03164722511818, 35.031905168590384, 40.727685979429744)"
ASTRODF_28,CNTNEWS-1_9,3,"(20, 20, 20, 20)","(22.133107670664558, 22.13310767066453, 22.13310767066456, 24.23937868062526)","(24.33109122016549, 24.315941539986543, 24.313825852831997, 28.395259986282596)","(26.61175082344913, 26.596611377198858, 26.59447788194943, 32.3975767892539)","(29.000794399149424, 28.985146586983426, 28.98290489979237, 36.20619377277249)","(31.58852426558261, 31.555647482829478, 31.55899345330825, 39.62419372141973)","(34.26480507882481, 34.36828905632609, 34.43752128761702, 42.498810651813)"
ASTRODF_28,CNTNEWS-1_9,4,"(20, 20, 20, 20)","(22.20258970802597, 22.202589698091856, 22.202589698091877, 24.131412884655926)","(24.557920246088386, 24.465395370528316, 24.465435336387436, 28.110663412605952)","(27.024015126445402, 26.93148841584242, 26.931525302035944, 31.768249777401984)","(29.490110006802418, 29.397581461156523, 29.39761526768445, 35.425836142198015)","(31.956204887159434, 31.863674506470627, 31.863705233332958, 39.08342250699405)","(34.393648160023, 34.22579732319256, 34.914088597003236, 42.369329387388134)"
ASTRODF_28,CNTNEWS-1_9,5,"(20, 20, 20, 20)","(22.10934720528639, 22.10934720528637, 22.109347205286358, 24.274896455393453)","(24.21869441057278, 24.218694410572738, 24.218694410572716, 28.549792910786906)","(26.380374651196487, 26.47648201352291, 26.48734880692547, 32.63703128270194)","(28.729181334615078, 28.82453347931225, 28.835343278871797, 36.52025932639523)","(31.322686160625633, 31.50017629780712, 31.507716578264088, 39.775388475242586)","(34.10769212951716, 34.23439977584599, 34.239880892870765, 42.762999307505254)"
ASTRODF_28,CNTNEWS-1_9,6,"(20, 20, 20, 20)","(22.109347205286387, 22.10934720528637, 22.10934720528636, 24.274896455393453)","(24.24703540152108, 24.35554569014579, 24.34461922282045, 28.399362136134048)","(26.384723597755777, 26.60174417500521, 26.57989124035454, 32.52382781687464)","(28.677294448064014, 28.93892260908812, 28.9218186183462, 36.4506418717379)","(31.08760923667313, 31.456312261145886, 31.42908072631834, 40.08238322859904)","(33.63154209032952, 34.025317937941246, 33.998229842915435, 43.539385526407514)"
ASTRODF_28,CNTNEWS-1_9,7,"(20, 20, 20, 20)","(22.109347229811302, 22.109347201270683, 22.109347201270694, 24.274896447255095)","(23.548825166077265, 23.54882511830022, 23.548825118300243, 27.13703507298835)","(25.03205674318803, 25.022462561338653, 25.02246358228362, 29.941484045914684)","(26.70049790146521, 26.692672045495165, 26.69267312939177, 32.400189404084166)","(26.70049790146521, 26.692672045495165, 26.69267312939177, 32.400189404084166)",
ASTRODF_28,CNTNEWS-1_9,8,"(20, 20, 20, 20)","(22.109347221636337, 22.109347202609246, 22.109347202609246, 24.274896449967876)","(24.24676881706806, 24.35068983028011, 24.35068843825557, 28.39884822173277)","(26.465379767803082, 26.569781311862393, 26.569780113172023, 32.50394349293512)","(28.746039174978517, 28.850442516924776, 28.850438621504857, 36.50626163449239)","(31.11135230659834, 30.87484879672821, 32.11898874453565, 39.85983132939936)","(33.457361423061386, 33.57011268774978, 34.80022586423542, 43.2753163451556)"
ASTRODF_28,CNTNEWS-1_9,9,"(20, 20, 20, 20)","(22.109347207894093, 22.10934718886699, 22.109347093731643, 24.27489651725255)","(24.218694415788185, 24.218694377733982, 24.218694187463285, 28.5497930345051)","(26.328041623682278, 26.328041566600973, 26.328041281194928, 32.82468955175765)","(28.43738883157637, 28.437388755467964, 28.43738837492657, 37.0995860690102)","(30.919735712016703, 31.48045807332899, 30.635580963766007, 40.47129320871201)","(33.429706145624216, 34.11150497412294, 33.28135209593855, 43.84772806608523)"
ASTRODF_28,CNTNEWS-1_25,0,"(20, 20, 20, 20)","(22.289965698013695, 22.375966623135238, 22.465020844392118, 23.828483844299747)","(24.579931323037087, 24.751926976908393, 24.93004807126656, 27.656967513581993)","(26.86989724227365, 27.127884647603402, 27.39507899667413, 31.485450290645083)","(29.222891231252106, 29.569246342440636, 29.927946119753678, 35.18822399441355)","(31.679907993220446, 32.02667547982502, 32.52588406730372, 38.765598127559834)","(34.25305954574735, 34.77043474313659, 35.3687076504903, 41.83020362733993)"
ASTRODF_28,CNTNEWS-1_25,1,"(20, 20, 20, 20)","(22.289965690880184, 22.375966624606598, 22.465020845918627, 23.828483846670583)","(24.57993151252666, 24.751931408816343, 24.93004179045988, 27.656968693779532)","(26.869897168157983, 27.12790176005471, 27.39505977683552, 31.485452089929193)","(29.159862977849436, 29.503873377419044, 29.86008140025214, 35.31393226640857)","(31.556999818562815, 31.991036230695933, 32.44046610591803, 38.92393881496546)","(34.120297272301485, 34.64048811864611, 35.19454764141597, 42.15623248272016)"
ASTRODF_28,CNTNEWS-1_25,2,"(20, 20, 20, 20)","(22.289965698013706, 22.375966623135238, 22.46502084439211, 23.82848384429974)","(24.589882689891567, 24.825372369347846, 24.97298889925802, 27.575971824046714)","(26.99720564782583, 27.323096231433986, 27.564361560251555, 31.16397071179838)","(29.54935606896207, 30.016420733567195, 30.334751547365926, 34.35462068869702)","(32.29313756036204, 32.86732514842268, 33.291966721575456, 37.04193573534063)","(35.18916132178456, 35.889385785773314, 36.42701721670371, 39.10940541398937)"
ASTRODF_28,CNTNEWS-1_25,3,"(20, 20, 20, 20)","(22.30944803101828, 22.396180634852122, 22.485992502725082, 23.790433489096458)","(24.66965402438572, 24.839920471544286, 25.016602776440465, 27.4885886404775)","(27.093917442585425, 27.330813401319098, 27.61376270594677, 31.06572942521426)","(29.548294687205313, 30.01407729198314, 30.310809284277997, 34.40112199433505)","(32.11209971384635, 32.68337414454235, 33.07934971382385, 37.60420154219856)","(34.79160437387567, 35.36370853198825, 35.91023951005199, 40.6447445712727)"
ASTRODF_28,CNTNEWS-1_25,4,"(20, 20, 20, 20)","(22.365632964015226, 22.454475615055735, 22.54647245220168, 23.676626821765176)","(24.85678001583985, 25.03898131193355, 25.222505749268304, 27.078999385677914)","(27.42075053706799, 27.642623649975956, 27.95280519815871, 30.367668305301585)","(29.989315202645095, 30.30766034094213, 30.717719555739453, 33.57361281378586)","(32.55788011467465, 32.972678301361434, 33.48264296502131, 36.77956488857146)","(35.05933389726741, 35.7458397637941, 36.25974987073909, 39.935948628348534)"
ASTRODF_28,CNTNEWS-1_25,5,"(20, 20, 20, 20)","(22.289965690880166, 22.375966624606605, 22.465020845918644, 23.828483846670576)","(24.579931512526706, 24.75193140881622, 24.930041790459747, 27.65696869377967)","(26.912738834074112, 27.172348776621845, 27.441178746491797, 31.40083802321594)","(29.33585026602972, 29.69965748666229, 30.056261897206902, 34.939956329942845)","(31.92554068684991, 32.38658309642082, 32.84377234972819, 38.09059061064002)","(34.6658605615677, 35.154391830581986, 35.75502920546957, 40.914991771401446)"
ASTRODF_28,CNTNEWS-1_25,6,"(20, 20, 20, 20)","(22.28996569088019, 22.375966624606622, 22.465020845918616, 23.828483846670572)","(24.57993131078836, 24.751926588532587, 24.930048458425702, 27.656967512656482)","(26.95127797671506, 27.168649828458463, 27.460358590591913, 31.365939204155534)","(29.37545185077284, 29.68385945203568, 30.069855174059086, 34.91705251695719)","(31.848846045826768, 32.32028740486934, 32.76814777273829, 38.274665129958834)","(34.38985689322368, 35.01666478831471, 35.563653366058915, 41.44968291870465)"
ASTRODF_28,CNTNEWS-1_25,7,"(20, 20, 20, 20)","(22.289965712280733, 22.37596662019253, 22.46502084133911, 23.828483839558046)","(24.57993146382223, 24.751931238459225, 24.930043816132418, 27.656967524378544)","(24.649955950497375, 27.577536633845206, 27.824409255466335, 31.562921444499043)","(27.3632426799787, 30.392998768265894, 30.745392996191654, 34.3561057709204)","(30.278333677398354, 33.308042328269245, 33.82731084013868, 36.62090698181962)","(33.23780930260636, 36.3786683787262, 37.013023250685364, 38.43385285002072)"
ASTRODF_28,CNTNEWS-1_25,8,"(20, 20, 20, 20)","(22.28996570514722, 22.3759666216639, 22.465020842865606, 23.828483841928886)","(24.58988271460054, 24.825373462393838, 24.972987947379668, 27.575971731511963)","(26.959622290663628, 27.252316497971115, 27.500443311941847, 31.281242008500264)","(29.34573134863173, 29.77428089836878, 30.114570145541578, 34.84989674469247)","(31.74670584622219, 32.25869919399099, 32.87113738197749, 38.32654755646373)","(33.60659529620933, 35.146901261091436, 35.61035721933541, 41.61846343756288)"
ASTRODF_28,CNTNEWS-1_25,9,"(20, 20, 20, 20)","(22.28996569605843, 22.375966612233775, 22.465020741029974, 23.828483918785846)","(24.57993116539394, 24.751932865090936, 24.930041866435026, 27.656967948728443)","(26.891062683722502, 27.293353058632494, 27.491131406562758, 31.298870126709012)","(29.30965410132156, 29.822184359437294, 30.112665195568084, 34.83521923300116)","(31.818469702306437, 32.453552078317244, 32.84107792501155, 38.14585191993369)","(34.478123917296266, 35.511977705300474, 35.5909380790656, 40.9086978938759)"
ASTRODF_28,CNTNEWS-1_5_0m4,0,"(20, 20, 20, 20)","(25.18384504689305, 21.4919738543694, 21.585188785927492, 20.108248151642428)","(30.100254555536917, 23.35565488771053, 23.575083606666354, 20.245017129708188)","(34.33295479498632, 25.892736033811797, 26.266295294937205, 20.411222399361613)","(37.86802669997237, 28.893021919596833, 29.441213355425404, 20.621515387849268)","(40.64670185273849, 32.24804369618312, 32.991088747575546, 20.831168854127988)","(42.78878241039683, 35.80642207197795, 36.76905896827406, 21.146052693625773)"
ASTRODF_28,CNTNEWS-1_5_0m4,1,"(20, 20, 20, 20)","(25.161568873980205, 21.5277343960454, 21.623183560083532, 20.110842709534193)","(29.873091421085533, 23.62031820499512, 23.845547845764155, 20.4372195991184)","(33.81639007226541, 26.364678402320656, 26.761369055771166, 20.636332953505644)","(37.27991900478862, 29.365251230219748, 30.010561603576114, 20.89334351169522)","(40.46047253955379, 32.55490421837603, 33.368260556711796, 21.13588705301062)","(40.46047253955379, 32.55490421837603, 33.368260556711796, 21.13588705301062)"
ASTRODF_28,CNTNEWS-1_5_0m4,2,"(20, 20, 20, 20)","(25.20006388797983, 21.465288594095433, 21.55683629488888, 20.106312038558208)","(30.19196503254414, 23.247449736655547, 23.433105436485995, 20.191255165535107)","(34.574973604828735, 25.659083987948886, 25.99541244330781, 20.366228014126513)","(37.99056023355037, 28.713277875959406, 29.25035292247287, 20.55009414726049)","(41.01249792112379, 32.05095859115559, 32.6116967058318, 20.77796390740641)","(41.01249792112379, 32.05095859115559, 32.6116967058318, 20.77796390740641)"
ASTRODF_28,CNTNEWS-1_5_0m4,3,"(20, 20, 20, 20)","(25.23685179829723, 21.403366186576623, 21.491045124548336, 20.07421339022637)","(30.237155133219296, 23.151544768620333, 23.331566892708395, 20.49384945476765)","(34.83754460855025, 25.36694124956768, 25.68537591368619, 20.597747490926412)","(38.95902788033185, 27.98865815308749, 28.464446223770594, 20.79654621203435)","(42.41632894395958, 31.023360454319093, 31.692518198502302, 20.996494270223845)","(42.41632894395958, 31.023360454319093, 31.692518198502302, 20.996494270223845)"
ASTRODF_28,CNTNEWS-1_5_0m4,4,"(20, 20, 20, 20)","(25.211309197909046, 21.448231273379673, 21.538713273873867, 19.995451914487862)","(30.245526668775288, 23.16730102289333, 23.361826236807858, 20.01757381309504)","(34.48285467706968, 25.70159431810126, 26.052686559387567, 19.950819262403513)","(37.76237680291897, 28.834482721541963, 29.372681412485083, 20.12447309835745)","(40.71863110643522, 32.015142030667, 32.94497078529803, 20.198581740156815)","(43.20079877011964, 35.68943939340989, 36.40326054670223, 20.23587929169542)"
ASTRODF_28,CNTNEWS-1_5_0m4,5,"(20, 20, 20, 20)","(25.174693310795664, 21.506786778150204, 21.600927185494857, 20.109322883357727)","(30.060945320958147, 23.41223747453065, 23.626408627939117, 20.22764644332814)","(34.48263062560078, 25.785777361007053, 26.157518282075323, 20.404474027248916)","(38.240303726175284, 28.652378863999395, 29.200272895133242, 20.56851566421752)","(41.667629802782145, 31.666871157604902, 32.47542975558203, 20.818308213231045)","(44.37335589959313, 34.97726020572735, 36.12044195083734, 21.05712474789906)"
ASTRODF_28,CNTNEWS-1_5_0m4,6,"(20, 20, 20, 20)","(25.116960220951963, 21.596502452647076, 21.69624807916727, 20.11583208317326)","(29.797561736156837, 23.732735841232643, 23.960609964606615, 20.27048724411994)","(33.910995320767384, 26.354397336302153, 26.758310363889883, 20.317436448606948)","(37.39606729048456, 29.362455954894845, 29.980664143470293, 20.529732077176057)","(40.41884502759403, 32.609086773741716, 33.43000823931814, 20.746538415350145)","(42.7623119293113, 36.11442485112738, 37.14984596936793, 20.82623601611474)"
ASTRODF_28,CNTNEWS-1_5_0m4,7,"(20, 20, 20, 20)","(25.036602206838484, 21.71205758551188, 21.819022818307094, 20.124216030055962)","(29.44607802484382, 24.1020581759741, 24.358741653528316, 20.254696019796725)","(33.05932580763075, 27.06300882119323, 27.487082057086152, 20.37077641397758)","(36.54420041384792, 30.084068603464317, 30.70416190333432, 20.325824935308287)","(39.077073738337596, 33.61496625525917, 34.26609787226552, 20.555396818508616)","(41.08332817435723, 37.21353368121217, 38.0841396179884, 20.821083567185923)"
ASTRODF_28,CNTNEWS-1_5_0m4,8,"(20, 20, 20, 20)","(25.12370084527825, 21.586340115935776, 21.685450824144063, 20.11509476853323)","(29.859281857353814, 23.657014546997033, 23.866177379488928, 20.507253118075884)","(33.56796488780057, 26.55571665273741, 26.937932244301642, 20.681307517720825)","(36.57911803996758, 29.835988697617307, 30.36498619064081, 20.90680664485678)","(39.37188766328758, 33.17696505956958, 33.91454024849745, 21.155316950426705)","(39.37188766328758, 33.17696505956958, 33.91454024849745, 21.155316950426705)"
ASTRODF_28,CNTNEWS-1_5_0m4,9,"(20, 20, 20, 20)","(25.065928948442796, 21.671021829325152, 21.775423246948147, 20.121238736086998)","(29.65548802489007, 23.893552019590157, 24.14286126842362, 20.240908503852967)","(33.9341173764393, 26.39373695643675, 26.800830922662325, 20.260403950929827)","(37.39442944949455, 29.428374689309713, 30.02587742573964, 20.45805475908481)","(39.85872439833958, 32.88915909471674, 33.699071897015074, 20.74202778995887)","(41.740974270808685, 36.54910074692029, 37.5229904357055, 20.991799948533497)"
ASTRODF_28,CNTNEWS-1_9_0m4,0,"(20, 20, 20, 20)","(22.58256886467833, 22.582568853030462, 22.582568853030473, 23.407901245575005)","(25.16513772935666, 25.165137706060925, 25.165137706060946, 26.81580249115001)","(27.747706594034987, 27.747706559091387, 27.74770655909142, 30.223703736725014)","(30.344263102874248, 30.48206316420249, 30.48206534989274, 33.374457116052106)","(33.048238946811935, 33.314711038686454, 33.31471389791061, 36.249087433097934)","(35.87240160524058, 36.31908397105377, 36.31908982859589, 38.61432535575995)"
ASTRODF_28,CNTNEWS-1_9_0m4,1,"(20, 20, 20, 20)","(22.582568855487168, 22.582568855487136, 22.582568855487136, 23.407901248816817)","(25.165137710974335, 25.16513771097427, 25.16513771097427, 26.815802497633634)","(27.747706566461503, 27.747706566461407, 27.747706566461407, 30.22370374645045)","(30.330330838878968, 30.3301294246058, 30.330259869733506, 33.63168541991873)","(32.97982008852432, 32.979617575784445, 32.979747650352536, 36.88182547148757)","(35.66585595349771, 36.75121701208841, 35.05191419857023, 39.30858285991346)"
ASTRODF_28,CNTNEWS-1_9_0m4,2,"(20, 20, 20, 20)","(22.582568864678347, 22.582568853030466, 22.582568853030477, 23.407901245574987)","(25.165137810335416, 25.165135849592446, 25.165143893787388, 26.81579914746991)","(27.88771005814036, 27.887707932882467, 27.88771603535448, 29.879388405581828)","(30.610282305945304, 30.61028001617249, 30.61028817692157, 32.942977663693746)","(33.33285455375025, 33.332852099462514, 33.33286031848866, 36.006566921805664)","(36.39309912433537, 36.632894816930005, 36.63290385456347, 36.69729877483456)"
ASTRODF_28,CNTNEWS-1_9_0m4,3,"(20, 20, 20, 20)","(22.611388407089372, 22.61138840708934, 22.611388407089354, 23.341366242069512)","(25.272353662791183, 25.326088609977226, 25.312979404883183, 26.483634435383287)","(28.001286742252315, 28.055327391135744, 28.042179047680445, 29.529685294230237)","(30.783203007982937, 30.834224632254806, 30.827104217176153, 32.42893354433877)","(33.68380072768381, 33.73458039152711, 33.72743146586407, 34.955858115892944)","(36.68693133021385, 36.642505167656395, 36.7326269253433, 37.217883078737124)"
ASTRODF_28,CNTNEWS-1_9_0m4,4,"(20, 20, 20, 20)","(22.69362456134266, 22.693624549193895, 22.693624549193885, 23.139416649662067)","(25.336401454189243, 25.559429079759852, 25.55942907975983, 26.005221193153353)","(28.291015513239085, 28.41352551674548, 28.413530345970187, 28.57451523127962)","(31.26106187991287, 31.383585308527078, 31.383569826129712, 30.845905004310143)","(34.13616677609889, 34.38474898979334, 34.38473400623619, 33.157306864633256)","(36.90281210316238, 37.4471496199252, 37.4471102380193, 35.44028834320451)"
ASTRODF_28,CNTNEWS-1_9_0m4,5,"(20, 20, 20, 20)","(22.582568855487185, 22.58256885548716, 22.58256885548716, 23.407901248816767)","(25.16478095775392, 25.166524133031935, 25.164733623648914, 26.815328063042376)","(27.753090305389087, 27.75091702275447, 27.85386900283047, 30.133896372813002)","(30.44515312760555, 30.665968363793183, 30.536895015633856, 33.07998215850433)","(33.32563310961988, 33.545052034634956, 33.44929852503817, 35.64013736661189)","(36.36099368350918, 36.58087616090839, 36.48314565736659, 37.637362000988546)"
ASTRODF_28,CNTNEWS-1_9_0m4,6,"(20, 20, 20, 20)","(22.58256885548718, 22.582568855487153, 22.58256885548714, 23.407901248816795)","(25.078439400798874, 25.491944895278113, 25.491944895278085, 26.31727728860779)","(27.737838901608377, 28.183125551327947, 28.18312555132812, 29.48988887053572)","(30.39723840241788, 30.87430620737778, 30.874306207378158, 32.66250045246365)","(33.17915577336234, 33.656228275135504, 33.65622827507995, 35.56172992959677)","(36.03318699102828, 36.6510737164815, 36.5998175701625, 37.979055984268875)"
ASTRODF_28,CNTNEWS-1_9_0m4,7,"(20, 20, 20, 20)","(22.582568883060652, 22.58256884811709, 22.58256884811709, 23.407901239091444)","(25.165137543021473, 25.165138624707268, 25.165137100866986, 26.81580239481813)","(27.747706202982293, 27.747708401297444, 27.74770535361688, 30.22370355054482)","(30.48369309162907, 32.14286956073071, 29.254900498156445, 31.81997217634761)","(34.234756642693014, 34.8439066889013, 32.26328865352414, 32.918288149303784)","(36.927639917157435, 38.2574550386936, 35.70272091636682, 33.86123546741904)"
ASTRODF_28,CNTNEWS-1_9_0m4,8,"(20, 20, 20, 20)","(22.582568873869487, 22.582568850573768, 22.582568850573768, 23.407901242333242)","(25.165137747738974, 25.165137701147536, 25.165137701147536, 26.815802484666484)","(27.841648877320942, 27.854886196892814, 27.854889641312006, 29.97642778750216)","(30.620596736741557, 30.562567302746537, 30.562455652481585, 33.01579856456563)","(33.2037563282487, 33.63105594602082, 33.63013620878306, 35.49042511761865)","(35.61582446781533, 36.6902965777064, 36.69031472857402, 38.15145087401888)"
ASTRODF_28,CNTNEWS-1_9_0m4,9,"(20, 20, 20, 20)","(22.582568866018484, 22.58256884272275, 22.582568726244244, 23.407901348451663)","(25.165137732036968, 25.1651376854455, 25.165137452488487, 26.815802696903326)","(27.74770659805545, 27.74770652816825, 27.74770617873273, 30.22370404535499)","(30.330275464073935, 30.330275370891002, 30.330274904976974, 33.63160539380665)","(32.91284433009242, 32.91284421361375, 32.91284363122122, 37.03950674225831)","(35.4954131961109, 35.4954130563365, 35.49541235746547, 40.44740809070997)"
ASTRODF_28,CNTNEWS-1_25_0m4,0,"(20, 20, 20, 20)","(22.623212899428548, 22.7217291070457, 22.823742941642532, 23.059443928778506)","(25.246425798857096, 25.4434582140914, 25.647485883285064, 26.118887857557013)","(27.869638740602056, 28.165181652787496, 28.471231817970306, 29.1783340302403)","(30.492851682347016, 30.88690509148359, 31.294977752655548, 32.23778020292359)","(33.167526427042354, 33.70856394743647, 34.197880469851, 35.080365070063834)","(35.91235885584954, 36.60137419441793, 37.16103663229469, 37.71475797382426)"
ASTRODF_28,CNTNEWS-1_25_0m4,1,"(20, 20, 20, 20)","(22.623212891764133, 22.72172910925742, 22.82374294393714, 23.059443931264678)","(25.246425783528267, 25.44345821851484, 25.647485887874282, 26.118887862529355)","(27.86963871420344, 28.165181601912195, 28.471231887628228, 29.178334033842724)","(30.492852211165953, 30.88691128996794, 31.294975124910422, 32.237776660547226)","(33.11606570812847, 33.608640978023686, 34.11871836219262, 35.29721928725173)","(35.79228466379688, 36.42829932536705, 37.02144999932972, 38.14051043485254)"
ASTRODF_28,CNTNEWS-1_25_0m4,2,"(20, 20, 20, 20)","(22.623212899428555, 22.721729107045682, 22.82374294164253, 23.059443928778517)","(25.24642579885711, 25.443458214091365, 25.647485883285057, 26.118887857557034)","(27.918015079579508, 28.269102772063086, 28.550746815981736, 28.960048906405728)","(30.711331475705766, 31.167318755223704, 31.557443651424393, 31.485970197243475)","(33.60479356165079, 34.17205664339799, 34.67341527612224, 33.61033476490371)","(36.455949334154624, 37.5043074793382, 37.94656614871906, 34.905045193608245)"
ASTRODF_28,CNTNEWS-1_25_0m4,3,"(20, 20, 20, 20)","(22.64392540809553, 22.743219495646606, 22.84603881707254, 23.001207238517765)","(25.31270346764036, 25.59381784754493, 25.719769840269898, 25.85009462011844)","(28.055811376820397, 28.3708959431718, 28.61072042025693, 28.683533801597342)","(30.824523249449378, 31.24359125060272, 31.591084502258028, 31.29544168232921)","(33.60001543995416, 34.319102719443435, 34.67873651218447, 33.515138502338)","(36.445134436677776, 37.31385915055324, 37.78271787213486, 35.73432937551075)"
